feature,mean_abs_shap
sensor_measurement_9,10.442860330036533
sensor_measurement_11,10.033993905762093
sensor_measurement_14,9.221169233226316
sensor_measurement_4,7.408098728637189
sensor_measurement_7,5.522734751654799
sensor_measurement_12,4.30266973609073
sensor_measurement_21,4.286369002851677
sensor_measurement_15,3.866285982907032
sensor_measurement_8,3.7719147495527436
sensor_measurement_20,3.7188436774206406
sensor_measurement_3,3.338334468913063
sensor_measurement_2,3.2763495968289913
sensor_measurement_13,3.1463253418076906
sensor_measurement_17,2.220367712998837
operational_setting_1,1.8096353301390335
operational_setting_2,1.1157955183013024
sensor_measurement_6,0.1300880660998861
