feature,mean_abs_shap
feature_59,0.0002632165263463788
feature_477,0.00011361595055798586
feature_103,0.00010939109745655213
feature_348,0.00010199322334009934
feature_26,9.165271538845065e-05
feature_341,8.257772852921176e-05
feature_64,7.987287397181295e-05
feature_65,7.9345269635942e-05
feature_210,6.740168947772413e-05
feature_205,6.383704586996414e-05
feature_571,6.301090855123511e-05
feature_0,6.113129879750107e-05
feature_222,5.7057082219779216e-05
feature_475,5.393167413575452e-05
feature_16,5.1498773695209286e-05
feature_79,5.105860227292096e-05
feature_331,5.101255505032703e-05
feature_62,5.0981989116359285e-05
feature_203,5.0850449625653965e-05
feature_41,4.870141657889254e-05
feature_93,4.760285395005632e-05
feature_319,4.7219354123615844e-05
feature_573,4.6932028739064904e-05
feature_316,4.6624441616624454e-05
feature_510,4.653331242372365e-05
feature_152,4.5425045060333245e-05
feature_494,4.52775900586894e-05
feature_112,4.5187047962874e-05
feature_429,4.434202066095006e-05
feature_290,4.276805349416483e-05
feature_147,4.243659798359093e-05
feature_567,4.194659387433018e-05
feature_582,3.995312268975584e-05
feature_99,3.8643255459218546e-05
feature_166,3.8462601150043345e-05
feature_156,3.83538978891101e-05
feature_442,3.833112412040748e-05
feature_63,3.8247414240535586e-05
feature_267,3.820910287926269e-05
feature_287,3.8105203480880164e-05
feature_125,3.5872374852077396e-05
feature_163,3.4662311412910434e-05
feature_420,3.459136302639651e-05
feature_45,3.458221369031362e-05
feature_153,3.4038142822668793e-05
feature_298,3.381785127881492e-05
feature_282,3.3349915759342606e-05
feature_519,3.322486251450109e-05
feature_55,3.2727905347255356e-05
feature_288,3.263934100886259e-05
feature_77,3.222584530363229e-05
feature_497,3.1954796241365715e-05
feature_129,3.138143759032776e-05
feature_274,3.1189881341268984e-05
feature_565,3.08178549134915e-05
feature_540,3.04776272661042e-05
feature_30,3.0181980610553917e-05
feature_301,3.0040800928659116e-05
feature_385,3.0037674971335087e-05
feature_468,2.988212543141293e-05
feature_100,2.9768632086748228e-05
feature_554,2.960863060450651e-05
feature_60,2.9090499555539544e-05
feature_239,2.8737938372569985e-05
feature_247,2.8584506476017195e-05
feature_212,2.8075049592690856e-05
feature_133,2.7842851249301027e-05
feature_123,2.7577527377720996e-05
feature_299,2.751965577598821e-05
feature_539,2.704261446979654e-05
feature_336,2.698671972589624e-05
feature_47,2.6653995380791175e-05
feature_437,2.6289034772093183e-05
feature_441,2.626831699023441e-05
feature_361,2.6262180415997016e-05
feature_88,2.6090491643851548e-05
feature_569,2.60673295923704e-05
feature_426,2.5530667305770646e-05
feature_139,2.5372604682085464e-05
feature_21,2.5349318927335662e-05
feature_291,2.5014299179054216e-05
feature_574,2.496833022704036e-05
feature_40,2.493037719870608e-05
feature_68,2.4753283844352124e-05
feature_11,2.4216499215879047e-05
feature_335,2.3986906439747873e-05
feature_119,2.3956431837278775e-05
feature_268,2.394820878336993e-05
feature_250,2.3926829943036954e-05
feature_350,2.3824185653114407e-05
